iter	Passed	Remaining
0	144	144366
1	145	72679
2	146	48799
3	147	36818
4	148	29614
5	149	24821
6	150	21412
7	151	18830
8	152	16840
9	153	15243
10	154	13934
11	155	12841
12	157	11925
13	158	11129
14	158	10423
15	159	9798
16	160	9254
17	160	8782
18	161	8349
19	162	7968
20	163	7614
21	163	7286
22	164	6985
23	164	6709
24	165	6454
25	166	6218
26	166	6001
27	167	5798
28	167	5610
29	168	5433
30	168	5269
31	169	5114
32	169	4969
33	170	4833
34	170	4704
35	171	4582
36	171	4474
37	172	4372
38	173	4275
39	174	4182
40	174	4091
41	175	4007
42	176	3922
43	176	3839
44	177	3761
45	177	3686
46	178	3614
47	178	3545
48	179	3480
49	179	3416
50	180	3356
51	180	3298
52	181	3241
53	181	3187
54	182	3134
55	182	3083
56	183	3035
57	183	2988
58	184	2944
59	185	2900
60	185	2858
61	186	2816
62	186	2777
63	187	2741
64	188	2707
65	188	2673
66	189	2638
67	189	2601
68	190	2567
69	190	2534
70	191	2502
71	191	2471
72	192	2441
73	192	2411
74	193	2383
75	193	2355
76	194	2328
77	194	2302
78	195	2276
79	195	2252
80	196	2228
81	196	2204
82	197	2181
83	198	2159
84	198	2135
85	198	2114
86	199	2092
87	199	2071
88	200	2052
89	200	2032
90	201	2014
91	202	1997
92	203	1980
93	203	1964
94	204	1947
95	205	1931
96	205	1914
97	206	1897
98	206	1880
99	207	1864
100	207	1848
101	207	1831
102	208	1815
103	209	1800
104	209	1786
105	210	1772
106	210	1758
107	211	1744
108	211	1730
109	212	1717
110	212	1705
111	213	1695
112	214	1682
113	214	1670
114	215	1657
115	215	1644
116	216	1632
117	216	1621
118	217	1610
119	218	1602
120	219	1592
121	219	1582
122	220	1569
123	220	1558
124	221	1548
125	221	1537
126	222	1527
127	222	1515
128	223	1505
129	223	1495
130	224	1485
131	224	1476
132	225	1467
133	225	1458
134	226	1448
135	226	1440
136	227	1431
137	227	1421
138	228	1413
139	228	1404
140	229	1396
141	229	1388
142	230	1380
143	230	1372
144	231	1364
145	232	1357
146	232	1350
147	233	1345
148	234	1339
149	235	1333
150	235	1325
151	236	1318
152	236	1310
153	237	1303
154	237	1296
155	238	1289
156	238	1282
157	239	1275
158	239	1268
159	240	1261
160	240	1255
161	241	1248
162	242	1242
163	242	1236
164	243	1230
165	243	1224
166	244	1217
167	244	1211
168	245	1205
169	245	1200
170	246	1194
171	246	1188
172	247	1183
173	248	1178
174	249	1173
175	249	1168
176	250	1163
177	250	1157
178	251	1152
179	251	1146
180	252	1140
181	252	1134
182	253	1129
183	253	1124
184	254	1119
185	254	1114
186	255	1109
187	255	1104
188	256	1099
189	256	1094
190	257	1089
191	257	1085
192	258	1080
193	258	1075
194	259	1070
195	259	1066
196	260	1061
197	260	1057
198	261	1052
199	262	1048
200	262	1044
201	263	1041
202	264	1037
203	265	1034
204	265	1030
205	266	1026
206	266	1021
207	267	1017
208	267	1013
209	268	1008
210	268	1004
211	269	1000
212	269	996
213	270	992
214	271	989
215	271	986
216	272	982
217	272	978
218	273	974
219	273	971
220	274	967
221	274	963
222	275	959
223	275	955
224	276	952
225	276	948
226	277	945
227	278	942
228	279	940
229	279	937
230	280	933
231	281	930
232	281	926
233	282	923
234	282	919
235	283	916
236	283	912
237	283	909
238	284	905
239	285	902
240	285	899
241	286	895
242	286	893
243	287	889
244	287	886
245	288	883
246	288	880
247	289	877
248	289	874
249	290	870
250	290	867
251	291	864
252	291	861
253	292	859
254	293	856
255	294	854
256	294	852
257	295	849
258	295	846
259	296	843
260	296	840
261	297	837
262	297	835
263	298	832
264	298	829
265	299	826
266	299	823
267	300	820
268	300	817
269	301	815
270	302	812
271	302	809
272	303	806
273	303	804
274	304	801
275	304	798
276	305	796
277	305	793
278	306	791
279	306	788
280	307	787
281	309	787
282	310	786
283	311	784
284	311	782
285	312	780
286	313	778
287	314	776
288	314	774
289	315	771
290	315	769
291	316	767
292	317	765
